StudyHours,Attendance,PreviousGrade,FinalScore
2.8,99.9,11.2,13.28
0.35,63.9,19.3,10.17
4.88,96.8,9.1,14.26
0.67,76.1,18.4,11.91
4.57,71.5,9.4,10.07
3.3,61.6,10.0,10.13
3.82,68.8,17.3,13.98
1.05,75.3,15.7,10.01
4.46,97.4,11.8,13.36
2.68,98.7,16.4,12.08
2.07,63.2,9.8,10.06
0.96,82.5,18.6,14.6
0.86,61.3,14.9,7.09
4.31,64.2,19.4,13.93
4.85,84.6,15.2,15.14
2.09,81.1,14.9,10.71
3.62,96.0,18.3,14.08
3.49,96.1,15.0,12.23
2.47,66.4,9.0,8.08
2.4,85.4,15.3,12.45
2.77,92.3,11.5,13.06
1.73,90.9,15.7,12.43
3.73,82.7,20.0,15.29
2.09,80.5,15.3,11.9
2.52,82.8,18.0,11.03
0.91,76.5,12.3,11.84
4.88,82.6,8.1,13.73
0.39,95.7,8.6,8.97
3.58,73.9,8.2,13.01
3.3,77.6,10.6,11.78
1.72,77.5,11.2,10.33
4.88,94.7,11.9,16.67
0.18,69.8,15.9,5.89
1.36,77.6,17.0,8.92
1.69,90.1,17.2,13.59
3.21,75.7,17.0,12.06
2.95,94.2,18.3,12.63
3.56,81.5,16.7,15.24
4.3,64.0,13.5,12.12
0.1,74.7,13.0,7.32
2.8,65.9,9.0,8.45
2.01,77.6,8.2,10.84
3.45,74.6,18.3,15.41
2.63,73.6,9.8,7.19
1.74,93.2,18.4,13.48
0.03,95.9,12.8,10.25
1.55,90.2,8.7,7.88
2.23,90.6,17.9,12.92
1.69,95.7,16.6,10.51
1.9,96.7,20.0,13.11
3.26,67.0,14.5,13.52
1.68,95.9,19.2,14.24
4.25,66.4,14.1,12.86
1.81,70.9,11.1,10.53
2.17,91.6,12.8,12.49
2.17,65.7,15.9,12.06
4.52,98.6,18.7,13.87
3.02,97.3,17.8,13.69
4.82,60.0,19.2,14.07
0.02,85.5,14.4,9.3
4.78,97.0,13.5,13.76
0.97,81.6,14.3,12.46
4.49,81.5,19.2,16.56
0.22,83.5,12.4,8.97
4.28,82.1,8.7,10.52
3.16,83.3,12.7,12.83
3.43,87.2,15.8,13.62
1.96,98.2,18.0,12.62
1.94,63.3,19.3,11.98
0.78,69.4,16.3,10.86
0.7,60.2,17.8,9.75
3.12,62.7,17.7,15.82
1.71,68.1,17.7,12.94
0.14,96.1,15.2,12.68
0.85,72.6,19.3,12.6
0.85,84.0,18.7,16.2
0.97,72.5,8.1,10.09
2.27,99.5,9.5,10.83
4.55,67.7,19.9,13.91
2.91,75.8,16.0,12.11
3.7,74.8,9.7,10.13
0.53,68.5,18.9,10.84
3.46,63.0,9.1,10.07
4.33,75.6,14.5,12.53
4.97,68.1,12.7,11.31
3.56,60.9,11.5,11.39
3.04,95.4,10.9,10.09
4.81,73.7,9.0,12.7
0.65,60.5,12.5,8.37
3.96,84.6,9.2,12.22
3.6,79.1,15.5,9.15
3.63,87.6,11.9,14.92
1.77,74.4,17.2,8.85
0.4,65.6,19.3,8.94
0.71,85.6,18.6,12.82
3.38,75.9,16.9,11.67
1.56,95.1,17.4,12.33
4.75,73.1,9.1,8.14
0.61,68.9,19.7,10.08
4.07,67.4,14.9,12.2
2.39,70.2,14.5,11.83
1.47,69.5,16.1,10.1
1.27,80.9,10.2,10.21
1.77,74.9,13.6,11.21
1.84,98.8,9.5,10.54
1.13,68.2,19.0,9.77
1.09,97.6,14.0,14.88
4.86,73.4,9.6,10.39
2.11,79.3,19.6,14.41
3.12,98.4,15.0,13.81
3.51,91.2,17.1,16.08
1.66,97.9,17.6,12.35
4.67,81.6,16.4,14.55
1.47,72.7,13.3,10.6
0.96,87.0,11.4,10.09
0.22,87.4,8.6,9.74
1.31,61.7,15.5,8.51
0.31,64.3,9.3,7.54
3.14,97.9,12.4,12.49
2.88,88.8,18.7,14.79
0.11,92.9,18.8,11.97
4.75,67.5,17.9,11.03
3.64,99.0,10.3,12.47
2.75,72.0,19.3,12.24
4.72,65.6,9.7,9.62
2.65,74.4,19.0,14.39
0.88,74.1,17.0,11.28
3.9,62.3,19.6,13.74
4.78,93.9,19.8,14.55
0.3,94.8,14.3,10.71
2.52,67.9,11.7,11.56
1.13,82.0,19.0,9.88
4.52,94.8,11.8,14.18
0.48,75.1,12.0,9.42
4.03,80.4,14.8,12.14
1.03,69.8,9.7,8.83
3.21,78.7,13.5,10.26
3.46,72.5,9.7,10.94
3.8,93.0,13.4,11.6
0.27,66.4,18.9,8.22
2.42,61.3,19.0,13.29
0.63,96.0,19.5,11.84
0.63,66.9,16.7,6.76
0.81,82.0,17.0,12.7
0.74,88.4,13.1,9.67
4.67,73.1,18.7,8.5
2.8,97.2,9.6,12.02
1.27,73.5,10.0,10.6
2.43,67.9,9.4,9.98
0.27,62.6,12.9,10.9
1.08,96.0,8.7,10.41
3.14,68.6,16.4,12.58
3.47,95.9,10.2,11.13
3.08,78.3,16.3,12.63
4.92,97.3,14.8,17.1
4.9,63.5,16.3,13.23
4.17,94.2,16.4,14.71
2.33,99.2,17.4,10.9
3.79,88.4,13.7,12.54
1.25,65.3,14.8,7.83
4.32,99.9,11.0,14.88
1.22,92.0,14.0,10.56
4.95,68.4,9.1,11.72
0.07,98.8,19.5,11.21
3.98,63.4,19.1,15.31
2.5,65.2,8.9,7.44
4.08,60.6,8.1,9.93
2.61,83.7,12.7,15.53
4.17,76.2,14.3,12.83
3.54,63.4,13.8,9.64
3.2,79.7,12.0,12.48
4.76,95.2,15.5,16.2
0.59,63.7,12.8,9.94
4.63,85.6,12.9,10.34
2.61,66.7,8.4,9.57
3.54,80.4,15.1,9.47
3.34,73.7,9.0,13.27
1.96,71.0,18.3,11.62
2.63,60.5,13.7,9.37
4.86,83.1,12.3,14.06
2.44,77.7,15.9,12.54
4.58,87.7,18.6,13.01
0.04,67.4,10.0,10.3
2.87,99.3,12.8,12.75
3.45,60.8,19.7,9.47
1.98,67.8,18.4,13.36
0.41,85.7,12.7,12.52
3.96,65.4,12.3,12.89
3.76,70.4,17.8,13.42
1.91,80.1,9.0,8.65
0.49,90.3,9.4,11.28
4.2,94.6,14.9,16.9
3.88,72.7,14.8,13.37
4.17,86.3,14.8,15.83
4.09,60.9,17.2,10.79
1.32,95.6,18.6,14.61
3.12,86.9,12.8,13.67
2.33,96.1,11.9,10.04
1.95,68.4,18.2,8.87
2.05,79.9,10.9,9.46
3.37,89.7,18.5,14.17
4.99,61.0,16.5,13.08
2.36,93.6,18.2,13.25
1.83,88.3,15.6,12.08
3.14,91.5,9.3,11.65
3.15,66.5,16.6,11.71
2.04,91.1,14.0,13.01
3.23,82.7,10.2,12.14
3.28,66.0,9.2,9.79
3.73,65.3,11.2,10.98
0.84,94.3,9.5,9.82
3.26,75.9,9.6,11.93
2.09,70.9,18.1,10.81
4.4,74.7,19.4,16.23
3.09,87.4,19.9,13.98
4.05,65.5,14.7,12.09
4.05,66.5,14.8,10.65
1.06,86.0,8.7,9.28
0.39,95.8,9.4,10.52
3.8,86.9,17.2,13.85
0.28,97.8,14.9,10.74
4.74,71.3,14.8,10.93
3.45,74.2,17.0,12.58
2.12,74.9,17.8,12.05
3.35,74.3,16.5,13.16
0.66,70.7,8.1,10.01
3.19,91.7,14.5,12.67
4.6,71.3,18.0,10.36
0.0,76.7,17.8,10.28
4.69,78.9,19.4,11.58
1.55,99.9,14.2,10.66
1.98,73.2,14.3,12.28
4.7,87.6,8.3,13.22
3.98,73.1,14.2,11.15
1.92,92.0,14.8,11.39
4.9,75.5,19.0,13.98
0.16,60.9,18.6,6.92
3.3,80.9,8.7,11.68
2.55,73.5,9.7,9.55
4.44,70.6,12.6,14.6
0.09,71.7,17.4,8.47
1.61,60.1,10.0,9.91
2.39,89.2,17.3,12.03
0.37,81.9,15.1,12.04
3.23,85.5,18.5,12.17
4.24,82.8,12.1,13.67
4.53,75.2,12.8,11.7
0.72,78.3,8.7,7.72
2.53,79.1,14.2,11.37
4.93,96.7,17.3,16.13
0.36,73.9,14.2,10.25
3.52,66.1,14.3,13.62
1.43,63.4,19.0,11.94
4.54,73.5,17.2,9.34
3.04,82.9,11.8,11.07
4.48,83.3,19.3,11.55
0.25,89.1,16.7,10.82
3.03,86.4,11.6,12.83
2.1,63.3,10.5,7.15
0.54,75.6,16.1,8.61
2.05,74.8,14.1,11.1
3.71,64.5,15.2,11.06
2.91,83.5,9.6,13.46
2.97,91.0,17.2,14.05
1.4,61.7,18.3,11.2
2.54,81.2,13.0,14.11
2.23,64.8,11.7,8.88
4.55,91.1,19.7,15.28
4.39,82.3,19.7,12.99
2.19,62.6,9.5,9.29
2.52,80.6,14.5,13.32
1.46,69.6,13.2,11.9
2.83,68.3,11.4,10.21
0.65,86.7,14.2,9.83
4.83,76.2,16.0,12.26
2.07,97.1,12.4,10.2
0.05,96.7,11.7,10.84
1.48,94.1,18.4,15.1
4.74,76.4,15.9,9.79
1.55,96.2,11.7,8.41
1.93,62.9,9.9,10.94
4.87,91.0,12.6,11.4
3.92,74.4,19.3,13.9
1.8,94.6,18.0,11.35
0.82,61.2,10.5,9.26
1.95,83.0,15.3,12.94
1.87,62.8,8.1,8.61
4.47,71.8,18.9,14.73
2.7,82.6,19.3,13.3
4.62,65.6,10.6,11.96
4.93,87.8,12.1,16.2
4.35,80.5,11.6,14.01
2.03,68.9,10.2,8.5
1.95,81.5,16.2,10.67
2.74,77.8,12.5,10.89
